City,Temperature (F),Latitude,Longitude,Humidity,Cloudiness (%),Wind Speed (mph)
lukovetskiy,51.8,64.29,41.92,100,20,2.59
yar-sale,42.24,66.83,70.83,100,44,12.77
constitucion,60.8,23.99,-104.67,87,90,8.05
atuona,79.68,-9.8,-139.03,100,0,16.8
la palma,72.93,5.36,-74.39,85,36,2.71
provideniya,50.25,64.42,-173.23,92,0,12.1
petropavlovsk-kamchatskiy,51.8,53.05,158.65,93,90,11.18
banyo,61.77,6.75,11.81,89,36,2.26
alice springs,68,-23.7,133.88,30,0,17.22
hilo,75.04,19.71,-155.08,60,1,11.41
vryheid,50.88,-27.77,30.79,60,36,2.71
paradwip,,,,,,
alofi,84.2,-19.06,-169.92,58,0,11.41
avarua,80.6,-21.21,-159.78,65,40,11.41
itarema,78.24,-2.92,-39.92,73,0,15.79
kovdor,47.19,67.56,30.47,96,20,3.71
san pedro,52.86,-33.68,-59.66,85,68,14.23
tuktoyaktuk,35.6,69.44,-133.03,80,90,14.99
punta arenas,42.8,-53.16,-70.91,88,75,12.75
saskylakh,42.6,71.97,114.09,94,92,13.67
busselton,52.14,-33.64,115.35,100,36,9.19
jamestown,47.01,-33.21,138.6,100,64,4.38
kodiak,87.98,39.95,-94.76,65,20,9.17
belushya guba,,,,,,
jaisalmer,80.31,26.91,70.91,66,8,11.77
attawapiskat,,,,,,
illoqqortoormiut,,,,,,
chicama,62.6,-7.84,-79.15,82,20,6.93
gardan diwal,,,,,,
la esperanza,68.97,14.31,-88.18,91,80,1.92
saint george,69.8,39.45,22.34,56,0,9.17
kruisfontein,59.61,-34,24.73,100,92,2.93
nizhneyansk,,,,,,
shenjiamen,82.83,29.96,122.3,94,32,6.06
rikitea,70.77,-23.12,-134.97,100,0,26.87
bilma,79.41,18.69,12.92,34,0,2.15
sataua,,,,,,
san ramon,73.47,12.92,-85.84,80,80,2.04
talavera,77,15.58,120.92,94,75,2.24
bilibino,62.04,68.06,166.44,42,8,4.16
albany,70.09,42.65,-73.75,65,40,6.93
portland,73.58,45.52,-122.67,41,20,6.93
maneadero,,,,,,
latung,70.05,-8.45,120.42,98,8,3.71
grindavik,43.86,63.84,-22.43,87,75,14.99
khatanga,41.43,71.98,102.47,84,56,15.46
carnarvon,50.34,-30.97,22.13,63,88,7.07
hobyo,73.83,5.35,48.53,81,0,19.26
rock sound,80.13,24.9,-76.2,100,80,23.73
mataura,48,-46.19,168.86,92,92,4.16
palabuhanratu,,,,,,
unecha,63.48,52.85,32.69,71,56,10.98
kapaa,81.55,22.08,-159.32,76,20,19.46
diego de almagro,48.18,-26.39,-70.05,86,0,2.15
amahai,80.67,-3.31,129,100,68,8.97
pevek,43.14,69.7,170.27,97,80,4.72
castro,48.9,-42.48,-73.76,98,92,15.79
yulara,64.4,-25.24,130.99,36,0,17.22
vila franca do campo,69.8,37.72,-25.43,83,40,6.93
mar del plata,55.02,-46.43,-67.52,48,32,19.48
port elizabeth,73.8,39.31,-74.98,87,90,4.7
luderitz,54.66,-26.65,15.16,93,100,10.76
malanje,59.43,-9.54,16.35,96,0,4.05
marquette,73.94,46.54,-87.4,68,90,9.17
karratha,62.76,-20.74,116.85,43,0,2.93
ushuaia,43.59,-54.81,-68.31,45,40,20.8
mundargi,70.41,15.22,75.9,92,88,11.32
bredasdorp,46.4,-34.53,20.04,93,48,1.12
sitka,71.76,37.17,-99.65,96,64,6.51
okha,56.73,53.59,142.95,91,56,17.36
amderma,,,,,,
san jose,74.91,15.79,120.99,99,88,1.59
norman wells,57.2,65.28,-126.83,41,75,16.11
baculin,81.48,7.45,126.58,90,0,8.19
pangnirtung,39.36,66.15,-65.72,89,92,9.08
balikpapan,79.59,-1.24,116.86,100,56,9.86
beloha,67.17,-25.17,45.06,63,0,12.1
christchurch,50,-43.53,172.64,87,64,2.24
nandgaon,71.13,20.31,74.66,93,80,11.43
geresk,,,,,,
ambulu,73.11,-8.35,113.61,100,88,3.71
ostrovnoy,47.64,68.05,39.51,100,92,7.63
bluff,75.54,-23.58,149.07,29,0,4.94
chuy,55.2,-33.69,-53.46,92,92,21.27
mogok,68.88,22.92,96.51,98,100,2.04
taolanaro,,,,,,
yeppoon,78.8,-23.13,150.74,27,0,9.17
bethel,53.06,60.79,-161.76,66,75,12.75
saint-francois,48.2,46.42,3.91,81,0,3.36
bundaberg,68.34,-24.87,152.35,93,0,8.19
sabinas hidalgo,91.56,26.51,-100.18,39,20,8.75
hithadhoo,83.1,-0.6,73.08,100,12,3.6
tiksi,40.62,71.64,128.87,97,0,3.6
kirakira,82.02,-10.46,161.92,100,20,10.65
mahanoro,63.39,-19.9,48.8,100,92,2.93
deputatskiy,32.97,69.3,139.9,94,92,4.38
madikeri,69.51,12.42,75.74,100,92,2.15
agadez,75.99,16.97,7.99,68,36,5.39
asheville,80.96,35.6,-82.55,62,1,0.81
nikolskoye,62.6,59.7,30.79,88,88,2.24
turek,64.83,52.02,18.5,74,92,10.65
voh,71.22,-20.95,164.69,95,0,3.83
muyezerskiy,54.75,63.93,31.65,96,48,2.37
barrow,40.8,-38.31,-60.23,65,0,7.63
hobart,50,-42.88,147.33,53,40,8.05
warrington,65.66,53.39,-2.59,82,90,4.7
tirano,42.8,46.22,10.17,93,75,1.12
hualmay,58.35,-11.1,-77.61,93,20,5.17
hermanus,38.91,-34.42,19.24,96,0,2.37
olafsvik,,,,,,
san martin,57.2,-0.3,-78.52,71,75,13.87
wasilla,61.5,61.58,-149.44,57,1,4.7
qaanaaq,31.35,77.48,-69.36,100,44,8.63
kipini,76.89,-2.53,40.53,84,92,15.68
tilichiki,53.49,60.47,166.1,84,68,9.53
cherskiy,47.1,68.75,161.3,66,12,3.04
vaini,69.33,15.34,74.49,99,92,4.94
comodoro rivadavia,55.4,-45.87,-67.48,43,0,4.7
bud,56.07,62.91,6.91,87,92,4.7
airai,71.67,-8.93,125.41,71,0,1.92
sal rei,80.6,16.18,-22.92,88,40,6.93
le port,41.97,42.87,1.37,89,8,0.92
cidreira,63.12,-30.17,-50.22,98,92,13.44
cape town,53.6,-33.93,18.42,93,75,6.93
torbay,50,47.66,-52.73,87,5,11.41
ola,57.2,59.58,151.3,76,75,2.24
bereznehuvate,62.94,47.31,32.85,69,8,3.38
pouebo,75.99,-20.4,164.57,63,0,0.58
ribeira grande,74.82,38.52,-28.7,100,0,6.17
geraldton,68,49.72,-86.95,68,20,5.82
pemangkat,,,,,,
taksimo,49.26,56.36,114.84,98,92,2.59
butaritari,83.37,3.07,172.79,100,48,6.62
anchorage,61.48,61.22,-149.89,64,1,9.17
